wallet_address,category,score,trade_count,win_rate,copyability_score,delay_viability_score
0xWALLET00,politics,0.3859,80,0.2143,0.4487,0.3705
0xWALLET01,politics,0.3859,80,0.2143,0.4487,0.3705
0xWALLET02,politics,0.3859,80,0.2143,0.4487,0.3705
0xWALLET03,politics,0.3859,80,0.2143,0.4487,0.3705
0xWALLET04,politics,0.3859,80,0.2143,0.4487,0.3705
0xWALLET05,politics,0.3859,80,0.2143,0.4487,0.3705
0xWALLET06,politics,0.3859,80,0.2143,0.4487,0.3705
0xWALLET07,politics,0.3859,80,0.2143,0.4487,0.3705
0xWALLET08,politics,0.3859,80,0.2143,0.4487,0.3705
0xWALLET09,politics,0.3859,80,0.2143,0.4487,0.3705
